post_id,italian_caption
post-0051,"Liberamente ispirato ai progetti tedeschi di caccia di fine guerra, era difficile da pilotare e non ebbe grande successo."
post-0052,"KFOR King's Royal Hussars, Kosovo, giugno 1999. Anche in questo caso, un piccolo kit molto grazioso."
post-0053,"KFOR 6974 0006 Petitmont, giugno 1999, Kosovo Peacekeeping - Kosovska Mitrovica, XK. Un piccolo kit molto grazioso."
post-0054,"Svenska Flygvapnet. Foto bonus aggiunta: le due varianti, monoposto e biposto, allegramente insieme."
post-0055,Svenska Flygvapnet.
post-0056,"Vecchio kit dell’Estremo Oriente, motorizzato, sia a scafo intero sia waterline."
post-0057,"Variante insolita, kit di seconda mano; ho dovuto termoformare il tettuccio."
post-0058,"Strano caccia turboelica tail-sitter, con primo volo, vincolato, il 19 aprile 1954. Molto difficile da far atterrare: dal punto di vista operativo era chiaramente un vicolo cieco, ma resta comunque una notevole impresa ingegneristica."
post-0059,"Splendido vecchio kit Revell che contiene l’SST sia in configurazione di crociera sia in configurazione di decollo e atterraggio: un’idea superba. L’ala a geometria variabile applicata a un aereo di linea era davvero qualcosa di speciale.

In più, guardiamo con nostalgia alla vecchia livrea Pan Am, ormai scomparsa, che un tempo era quasi sinonimo stesso di viaggio aereo."
post-0060,"Mi spiace, ma volevo vedere che aspetto avrebbe avuto questo progetto, piuttosto controverso e forse immaginario, in scala 1/32. Dovrei anche preparare un tettuccio termoformato per completarlo."
post-0061,"Livrea del primo prototipo davvero d’impatto. Il volo inaugurale ufficiale di 90 minuti fu effettuato all’Air Force Flight Test Center di Edwards AFB, in California, il 2 febbraio 1974; in precedenza, il 29 gennaio, avvenne un primo volo “non ufficiale” durante una prova di rullaggio ad alta velocità."
post-0062,Insolita livrea militare USAAC.
post-0063,"Newair Denmark, gennaio 2004."
post-0064,"Segelflugschule Zürich, 1988. Un altro bel kit Revell di aliante; la livrea svizzera è piuttosto elegante."
post-0065,"Segelfluggruppe Bern. Kit insolito e di dimensioni notevoli in questa scala, con un’apertura alare del modello di 62 cm, dedicato a un aliante ad alte prestazioni."
post-0066,Bel kit minuscolo; questo semovente M12 si può giocare in World of Tanks ed è piuttosto valido.
post-0067,"Discendente della leggendaria A110, con una linea piuttosto futuristica e molto anni Settanta. Modello minuscolo in questa scala."
post-0068,Parliamo di aerei dall’aspetto strano? L’apparenza da doppietta è notevole. Maggiori informazioni qui: https://www.youtube.com/watch?v=DtIFHBHrgiU&ab_channel=IHYLS #il40
post-0069,"Aereo pilotato dalla Luftstreitkräfte der Nationalen Volksarmee, Germania Est, base aerea di Brasov, 1962. #mig17"
post-0070,Prototipo per un caccia d’alta quota liberamente basato sul Me 109. #1/72 #Airmodel #vacform #Luft46 #BV155
post-0071,3./KampfGeschwader 2 “Holzhammer”. #1/72 #Italeri #do217k
post-0072,"Versione definitiva da caccia notturno del Do217, con fusoliera aerodinamica e quattro cannoni da 20 mm “Schräge Musik”. #Do217N2 #1/72 #conversion"
post-0075,Progetto Lippisch per un caccia con statoreattore alimentato a carbone. #1/72 #scratchbuilt #Luft46 #P13b
post-0076,1./KampfGeschwader 66 F5+AT. #1/72 #Italeri #Ju188
